1077	142	9	9	1	9	0	9	1	1	9	0	0	1	9	9	9	1	2	1	9	9	9	9	9	9	9	9	9	9	9	9	9
1077	138	9	0	9	9	9	9	9	9	9	9	9	9	9	1	9	9	9	9	1	2	0	0	1	1	1	0	1	0	0	1	1
1053	71	9	9	1	0	0	2	1	1	0	1	0	1	0	9	0	1	2	1	9	9	9	9	9	9	9	9	9	9	9	9	9
1053	60	0	1	9	9	9	9	9	9	9	9	9	9	9	1	9	9	9	9	1	2	0	1	0	0	1	0	1	0	0	0	0
1053	73	9	9	9	9	9	9	0	0	0	9	9	9	9	9	9	0	2	1	9	9	9	9	0	0	0	0	0	0	9	0	0
1053	67	0	0	0	1	0	0	9	9	9	0	0	1	0	1	9	9	9	9	1	1	0	1	9	9	9	9	9	9	0	9	9
1053	62	9	9	1	1	0	9	1	0	0	1	1	1	1	9	9	1	2	1	9	9	9	9	9	9	9	9	9	9	9	9	9
1053	61	1	0	9	9	9	9	9	9	9	9	9	9	9	1	9	9	9	9	1	2	1	1	1	1	1	0	1	1	0	0	1
1053	65	1	0	9	9	9	9	0	9	9	9	9	9	9	0	9	0	1	0	1	2	0	0	9	9	9	9	9	9	0	9	9
1053	70	9	9	9	9	9	9	0	0	9	9	9	9	9	9	9	0	1	0	9	9	9	9	1	1	1	0	0	0	9	0	1
1053	79	9	9	1	0	0	0	0	9	0	0	0	0	0	9	9	9	1	0	9	9	9	9	9	9	9	9	9	9	9	9	9
1053	78	1	0	9	9	9	9	9	9	9	9	9	9	9	1	9	9	9	9	0	1	9	1	0	0	0	0	0	9	0	0	0
1053	72	0	0	9	9	9	9	0	9	0	9	9	9	9	0	0	0	0	0	0	0	0	0	9	9	9	9	9	9	0	9	9
1053	69	0	0	0	9	9	9	9	9	9	0	0	0	9	0	9	9	9	9	0	0	9	0	9	9	9	9	9	9	0	9	9
1053	66	1	0	9	9	9	9	1	9	9	9	9	9	9	1	0	1	2	1	1	2	0	1	9	9	9	9	9	9	1	9	9
1064	123	9	9	9	9	9	9	1	1	1	9	9	9	9	9	2	1	0	9	9	9	9	9	0	0	1	1	1	2	9	1	1
1064	112	1	0	0	0	0	9	9	9	9	1	1	1	1	1	9	9	9	9	0	2	9	1	9	9	9	9	9	9	1	9	9
1064	125	9	9	1	9	0	9	0	9	9	0	0	0	9	9	0	1	2	1	9	9	9	9	9	9	9	9	9	9	9	9	9
1064	108	1	0	9	9	9	9	9	9	9	9	9	9	9	0	9	9	9	9	1	2	9	0	0	0	1	0	1	0	0	1	0
1064	129	9	0	9	9	9	9	0	1	0	9	9	9	9	0	9	0	1	0	0	9	9	0	9	9	9	9	9	9	9	9	9
1064	120	9	9	9	9	9	9	1	9	0	9	9	9	9	9	9	9	2	1	9	9	9	9	1	0	1	0	0	1	9	0	0
1064	127	0	0	1	9	0	1	9	9	9	1	1	1	1	1	9	9	9	9	1	2	2	1	9	9	9	9	9	9	0	9	9
1064	119	9	9	1	1	0	1	0	0	0	0	0	1	0	9	1	1	2	0	9	9	9	9	9	9	9	9	9	9	9	9	9
1064	111	1	0	9	9	9	9	0	9	0	9	9	9	9	0	9	0	2	0	0	0	0	0	9	9	9	9	9	9	0	9	9
1064	128	1	0	0	1	9	9	9	9	9	0	0	0	0	0	9	9	9	9	0	9	9	0	9	9	9	9	9	9	0	9	9
1064	116	9	9	0	0	9	0	0	0	9	0	9	0	0	9	9	0	0	0	9	9	9	9	9	9	9	9	9	9	9	9	9
1064	121	0	0	9	9	9	9	9	9	9	9	9	9	9	0	9	9	9	9	9	9	9	0	9	0	0	0	1	0	0	0	0
