    -0.00000	    -0.00000	    -0.00000	    -0.00000	    -0.00000	    -0.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	
    -0.00000	    -0.11943	    -0.00432	     0.00220	     0.05582	     0.00044	     1.00000	     0.95825	     0.93677	     0.95286	     1.03317	     1.02744	     1.00000	     0.91000	     1.06636	     1.00962	     0.98331	     1.04228	     1.00000	     1.07902	     0.98738	     0.88860	     1.05700	     0.97884	
     0.00318	    -0.14002	    -0.09422	    -0.01706	     0.05582	     0.00044	     1.08205	     0.95607	     1.00162	     0.97405	     1.03317	     1.02744	     0.95291	     0.94782	     1.01414	     1.05674	     0.98331	     1.04228	     1.01989	     1.13558	     1.07112	     0.83575	     1.05700	     0.97884	
     0.00318	    -0.14002	    -0.09422	     0.12618	     0.10495	     0.00044	     1.08205	     0.95607	     1.00162	     1.11139	     0.99230	     1.02744	     0.95291	     0.94782	     1.01414	     1.05135	     0.93558	     1.04228	     1.01989	     1.13558	     1.07112	     0.83405	     1.12191	     0.97884	
    -0.05274	    -0.14002	    -0.07089	     0.09246	     0.10495	     0.07005	     1.09537	     0.95607	     1.00870	     1.17678	     0.99230	     1.04622	     0.89704	     0.94782	     1.08671	     1.14878	     0.93558	     1.07669	     1.08874	     1.13558	     1.01927	     0.82876	     1.12191	     0.99478	
    -0.05274	    -0.14002	     0.01058	     0.09798	     0.09703	     0.07005	     1.09537	     0.95607	     1.01242	     1.14798	     0.92532	     1.04622	     0.89704	     0.94782	     1.02303	     1.21248	     0.99449	     1.07669	     1.08874	     1.13558	     1.02377	     0.75977	     1.06545	     0.99478	
    -0.05274	    -0.15045	    -0.04360	     0.04459	     0.09703	     0.07005	     1.09537	     0.95709	     1.03405	     1.16776	     0.92532	     1.04622	     0.89704	     1.00569	     1.06119	     1.32846	     0.99449	     1.07669	     1.08874	     1.16290	     1.09141	     0.80616	     1.06545	     0.99478	
    -0.05274	    -0.15045	    -0.04360	     0.04459	     0.18861	     0.07005	     1.09537	     0.95709	     1.03405	     1.16776	     0.85696	     1.04622	     0.89704	     1.00569	     1.06119	     1.32846	     1.02607	     1.07669	     1.08874	     1.16290	     1.09141	     0.80616	     0.96359	     0.99478	
    -0.09436	    -0.15045	    -0.04360	     0.04459	     0.25505	     0.07005	     1.09274	     0.95709	     1.03405	     1.16776	     0.84949	     1.04622	     0.77608	     1.00569	     1.06119	     1.32846	     0.99697	     1.07669	     1.06104	     1.16290	     1.09141	     0.80616	     0.96703	     0.99478	
    -0.09436	    -0.21635	    -0.06386	     0.04459	     0.35057	     0.15409	     1.09274	     0.94028	     1.13742	     1.16776	     0.82717	     1.12889	     0.77608	     1.08222	     1.15819	     1.32846	     0.95340	     0.99578	     1.06104	     1.20860	     1.06844	     0.80616	     0.94042	     1.00813	
