    -0.00000	    -0.00000	    -0.00000	    -0.00000	    -0.00000	    -0.00000	    -0.00000	    -0.00000	    -0.00000	    -0.00000	    -0.00000	    -0.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     1.00000	     0.00000	     0.00000	
     0.01616	    -0.00000	    -0.00000	    -0.00000	    -0.00001	    -0.00000	    -0.06197	     0.00339	    -0.00000	     0.01560	    -0.00000	    -0.00055	     1.03986	     1.00000	     1.00000	     1.00000	     1.10283	     1.00000	     1.13413	     1.14257	     1.00000	     1.03918	     1.00000	     0.97804	     0.97580	     0.05885	     0.04903	
    -0.19402	    -0.00000	     0.06620	    -0.00000	    -0.00001	    -0.00000	     0.01160	     0.00339	    -0.07219	     0.01264	    -0.00000	     0.10238	     0.96189	     1.00000	     1.03269	     1.00000	     1.10283	     1.00000	     1.15695	     1.14257	     1.04765	     1.08144	     1.00000	     0.91245	     0.97580	     0.05885	     0.04903	
    -0.25229	     0.08782	     0.08936	    -0.00000	    -0.05170	    -0.05121	     0.01160	     0.00339	    -0.07219	     0.01264	    -0.00000	     0.10238	     0.98948	     1.11604	     1.09180	     1.00000	     1.08248	     0.97845	     1.15695	     1.14257	     1.04765	     1.08144	     1.00000	     0.91245	     0.91380	    -0.03229	     0.08115	
    -0.25229	     0.08039	     0.08936	    -0.02665	    -0.05170	    -0.05121	     0.04945	    -0.00794	    -0.07219	     0.01264	    -0.00000	     0.10238	     0.98948	     1.21088	     1.09180	     1.19403	     1.08248	     0.97845	     1.39248	     1.06517	     1.04765	     1.08144	     1.00000	     0.91245	     0.91380	    -0.03229	     0.08115	
    -0.44400	     0.06999	     0.08936	    -0.02665	    -0.05170	    -0.05121	     0.11104	    -0.00794	    -0.08536	     0.01264	    -0.00000	     0.18500	     1.07450	     1.25582	     1.09180	     1.19403	     1.08248	     0.97845	     1.28913	     1.06517	     0.89566	     1.08144	     1.00000	     0.86383	     0.90881	    -0.02232	     0.08411	
    -0.50380	     0.06999	     0.13567	    -0.02665	    -0.17311	    -0.05121	     0.11104	    -0.00794	    -0.22344	    -0.00462	    -0.00000	     0.18500	     1.05163	     1.25582	     1.11959	     1.19403	     1.28561	     0.97845	     1.28913	     1.06517	     0.85343	     1.07751	     1.00000	     0.86383	     0.88243	    -0.13474	     0.21503	
    -0.54398	     0.06999	     0.16850	     0.17212	    -0.17311	    -0.01172	     0.11621	     0.10967	    -0.23237	     0.07325	     0.07048	     0.18270	     1.01098	     1.25582	     1.14613	     1.18537	     1.28561	     0.93628	     1.35813	     1.03115	     0.85718	     1.10538	     1.03262	     0.84739	     0.88243	    -0.13474	     0.21503	
    -0.60820	     0.04261	     0.16850	     0.17212	    -0.17311	    -0.07564	     0.11621	     0.10967	    -0.40587	     0.07325	     0.11298	     0.22155	     1.02237	     1.19610	     1.14613	     1.18537	     1.28561	     0.82392	     1.35813	     1.03115	     0.79892	     1.10538	     1.10597	     0.93540	     1.09446	    -0.09014	     0.23599	
    -0.60820	     0.04261	     0.16850	     0.17212	    -0.17311	    -0.07564	     0.11621	     0.10967	    -0.40587	     0.03672	     0.19589	     0.38390	     1.02237	     1.19610	     1.14613	     1.18537	     1.28561	     0.82392	     1.35813	     1.03115	     0.79892	     1.15289	     1.10389	     0.87824	     1.09446	    -0.09014	     0.23599	
