"","intercept_1","slope_1","intercept_2","slope_2","intercept_3","slope_3","intercept_4","slope_4","intercept_5","slope_5","intercept_6","slope_6","intercept_7","slope_7","intercept_8","slope_8","intercept_9","slope_9","intercept_10","slope_10","intercept_11","slope_11","intercept_12","slope_12","intercept_13","slope_13","intercept_14","slope_14","intercept_15","slope_15","intercept_16","slope_16","intercept_17","slope_17","intercept_18","slope_18","intercept_19","slope_19","intercept_20","slope_20"
"11",0.21912399,0.21057664,0.22896653,0.21980077,0.29725762,0.30919916,0.43582847,0.39399262,0.167975,0.14981484,0.1833292,0.16551893,0.30085006,0.23055612,0.33690456,0.25584083,0.1557648,0.12965155,0.15851252,0.13072326,0.2454074,0.16857429,0.37932309,0.21475183,0.16701949,0.15276647,0.18561767,0.16022598,0.23533205,0.17742793,0.37894643,0.35136164,0.31254871,0.35136164,0.24866076,0.26031316,0.317416,0.31973743,0.3968227,0.32616119
"12",0.27841989,0.29331346,0.29899002,0.30157056,0.36491974,0.37274882,0.3937079,0.33222304,0.16073823,0.14585193,0.22560386,0.19149109,0.23663911,0.18772696,0.34033158,0.23838327,0.14071101,0.12270412,0.19592464,0.14833611,0.21005544,0.15654698,0.3546757,0.20928213,0.15351341,0.14112067,0.21802128,0.18998156,0.26063376,0.20089401,0.32167551,0.20877404,0.21654352,0.20877404,0.26622799,0.28777255,0.25082347,0.25857607,0.34474184,0.2857002
"13",0.25289792,0.24436744,0.23377958,0.23676919,0.31763672,0.32045979,0.4399373,0.35813902,0.16184253,0.14840753,0.19663668,0.16718031,0.27724783,0.20145087,0.3553631,0.2349143,0.14458197,0.12495494,0.1604863,0.13324865,0.29804564,0.19095733,0.33993574,0.20563221,0.15062186,0.13796129,0.19394722,0.16933281,0.22820007,0.18589795,0.43662427,0.21266051,0.23029325,0.21266051,0.33260768,0.3797267,0.24911809,0.24590273,0.39920641,0.34484199
"14",0.22634569,0.2086887,0.28646992,0.30758322,0.32777275,0.34852423,0.43393703,0.37846986,0.17166166,0.15678157,0.20505961,0.17895438,0.23167351,0.19412134,0.46844382,0.30037005,0.15307598,0.12825712,0.19740607,0.14797531,0.2406107,0.16533535,0.36522156,0.20673765,0.16805102,0.15500823,0.17463807,0.15134115,0.23116467,0.18111005,0.34144683,0.20020335,0.21474643,0.20020335,0.2501316,0.266032,0.40558718,0.43148082,0.29908734,0.25180319
"15",0.21100319,0.20139228,0.27021131,0.29257663,0.39948989,0.40972383,0.41039729,0.34387185,0.18305627,0.16544827,0.1742742,0.15276427,0.28853509,0.22915402,0.31841021,0.21583567,0.1362795,0.12095181,0.20252727,0.15171355,0.23183196,0.1641364,0.35857884,0.20879187,0.15686072,0.14495205,0.21826259,0.19291911,0.21232493,0.17891031,0.44520806,0.26663936,0.25564147,0.26663936,0.23794787,0.24359439,0.30603371,0.32685352,0.48205689,0.40145825
"16",0.22365674,0.2212764,0.23022018,0.23068264,0.31625306,0.33502177,0.54002378,0.47298901,0.15280345,0.14216987,0.20046357,0.17283013,0.23703712,0.19231445,0.28984261,0.20801627,0.14341542,0.12459304,0.18058552,0.14285167,0.23140641,0.16478863,0.43843054,0.23296965,0.15874078,0.14245938,0.18952986,0.15955246,0.22220927,0.17443609,0.54203806,0.20574582,0.21910059,0.20574582,0.26101784,0.2703036,0.38276091,0.36640918,0.50100731,0.39137067
"17",0.22089179,0.22415392,0.2168718,0.22356049,0.26777974,0.27347976,0.39993115,0.39937438,0.17650438,0.16659554,0.19530633,0.16977507,0.2448487,0.20670551,0.57038181,0.36533783,0.13844843,0.12213358,0.18527217,0.14328018,0.2593802,0.1764667,0.34995145,0.21549451,0.16591615,0.15088304,0.20611525,0.1705206,0.26802495,0.20037527,0.34744391,0.27852194,0.27220312,0.27852194,0.25594393,0.26257288,0.30594788,0.28467063,0.47968116,0.34708788
"18",0.2406841,0.23675984,0.27927435,0.30265167,0.2669511,0.26944746,0.36625037,0.31384936,0.18126778,0.16735544,0.21243881,0.18145145,0.23337015,0.19448902,0.32764909,0.2389324,0.13773903,0.12223499,0.19539481,0.14941624,0.2230241,0.16139118,0.554717,0.26302518,0.16628739,0.15262103,0.20630216,0.1811117,0.19617567,0.16932918,0.52045478,0.23456854,0.25257708,0.23456854,0.23635179,0.24096832,0.32608315,0.33430321,0.54434447,0.47468307
"19",0.21976002,0.20640039,0.29400298,0.31014692,0.30480197,0.31103133,0.5147876,0.40154599,0.19387552,0.17811587,0.22881942,0.19850118,0.24964599,0.19188692,0.47997282,0.30516019,0.13791922,0.12285705,0.16680117,0.13738025,0.24524921,0.17313227,0.42276863,0.23853867,0.16670264,0.15487549,0.23025718,0.19560349,0.28177596,0.20940702,0.44121339,0.26955647,0.24534954,0.26955647,0.23405465,0.24546025,0.31290479,0.30163944,0.65940202,0.51608601
"20",0.24922016,0.24489888,0.29829638,0.31437988,0.2486109,0.2424924,0.44146924,0.36769779,0.18866492,0.16757087,0.20372868,0.17515503,0.21292315,0.1722398,0.43514377,0.26926771,0.13822764,0.12199163,0.15593539,0.13060217,0.22731609,0.1636997,0.38649629,0.22376161,0.16226766,0.15088624,0.20105512,0.17090206,0.23283294,0.19039749,0.67595002,0.23922546,0.23697328,0.23922546,0.22367163,0.22886198,0.26721262,0.27455688,0.43707519,0.34524263
"21",0.24873899,0.24703655,0.21967945,0.21957193,0.31049051,0.33564573,0.93894762,0.81018619,0.17387936,0.1621065,0.21387412,0.17908754,0.23123135,0.18644193,0.36277609,0.24829493,0.14608455,0.12593523,0.20373191,0.15248009,0.26100125,0.17655341,0.28965183,0.18695262,0.16329469,0.15043926,0.20872261,0.18131327,0.28157431,0.20942631,0.59861982,0.26851118,0.2604672,0.26851118,0.22945111,0.23444452,0.2773754,0.28450011,0.34590111,0.31830139
"22",0.2867603,0.31356547,0.23187659,0.22465199,0.30606884,0.28490433,0.35931774,0.31721765,0.14921017,0.13714497,0.18031263,0.15764577,0.19662336,0.16615056,0.34003666,0.23047319,0.13868083,0.12232366,0.17718,0.14187871,0.24394768,0.17178296,0.3503559,0.21196948,0.14382115,0.13044467,0.23815166,0.20485984,0.26450209,0.21293222,0.73186064,0.20866532,0.21734232,0.20866532,0.24957138,0.25610049,0.23325381,0.22628893,0.69180353,0.59325966
"23",0.26173127,0.2677053,0.2963232,0.32342237,0.34219963,0.3702857,0.55095966,0.46195767,0.15757015,0.14256308,0.18442306,0.16243609,0.20343691,0.17148621,0.37538286,0.23921597,0.14183731,0.12381072,0.18337314,0.14444486,0.24034633,0.16991886,0.26599156,0.1807815,0.1641685,0.15015413,0.19107828,0.17543378,0.28768389,0.24023337,0.67152957,0.2273786,0.22959749,0.2273786,0.23208605,0.23567656,0.23405581,0.22281971,0.39620017,0.32918527
"24",0.2566998,0.26307192,0.26042713,0.26838992,0.37338723,0.4107814,0.35926513,0.29899931,0.15675287,0.14168587,0.22467529,0.1948273,0.21067118,0.17796984,0.41777293,0.26352474,0.14782422,0.12722191,0.17758519,0.14257677,0.22572517,0.16416197,0.34240106,0.20877942,0.1685741,0.15692911,0.1886469,0.16541061,0.35685852,0.25535331,0.37956334,0.21626267,0.22736213,0.21626267,0.27817567,0.30058949,0.31812614,0.345932,0.40748944,0.37941407
"25",0.28387382,0.29943557,0.20579502,0.19480704,0.26511132,0.26096993,0.39025049,0.31304245,0.14391149,0.13002509,0.19177929,0.16735124,0.21946341,0.18039563,0.37083195,0.24270152,0.13757308,0.12104852,0.16690459,0.13578562,0.22766438,0.16179898,0.51302666,0.24644419,0.16780615,0.15224686,0.1815387,0.15973327,0.21257971,0.1816139,0.37130859,0.21928409,0.23056193,0.21928409,0.24419723,0.24751953,0.3483924,0.36218507,0.44151688,0.38556783
"26",0.23012981,0.21802395,0.27587667,0.27538458,0.42571509,0.42831696,0.38393597,0.3138411,0.17152842,0.15114168,0.20166748,0.16981375,0.3107024,0.22691382,0.42808331,0.25998055,0.13713108,0.12068774,0.1553301,0.1294766,0.18507934,0.14441496,0.34479505,0.20479251,0.14894426,0.13585475,0.18313234,0.16796973,0.18839817,0.15841081,0.35376179,0.24024597,0.24425971,0.24024597,0.37230853,0.45312821,0.2596882,0.28450172,0.34110752,0.32069118
"27",0.21370496,0.20694593,0.23289903,0.23235062,0.33602285,0.34079539,0.59896358,0.50881494,0.15889845,0.14376554,0.21379738,0.20024299,0.2489219,0.21148021,0.47079434,0.29064744,0.15134308,0.12873985,0.18336511,0.14409349,0.26091648,0.17647721,0.41155142,0.22478818,0.1660222,0.15471147,0.20851355,0.18162142,0.24907387,0.20667581,0.31424407,0.23250944,0.22799204,0.23250944,0.23119952,0.240959,0.30120391,0.28901262,0.35164886,0.29103838
"28",0.23119684,0.22650997,0.24255776,0.25682604,0.32740656,0.34951388,0.6933619,0.5772422,0.15384687,0.14250082,0.18328962,0.15918861,0.24366376,0.19517661,0.39188107,0.23215414,0.13459287,0.12028564,0.22811153,0.16467964,0.23374371,0.16736171,0.3807173,0.22239646,0.16339096,0.15053443,0.17793605,0.15783304,0.20638677,0.17375551,0.50264656,0.21363624,0.22152016,0.21363624,0.25827079,0.26497704,0.28662634,0.29257642,0.55933195,0.4872014
