"","intercept_1","slope_1","intercept_2","slope_2","intercept_3","slope_3","intercept_4","slope_4","intercept_5","slope_5","intercept_6","slope_6","intercept_7","slope_7","intercept_8","slope_8","intercept_9","slope_9","intercept_10","slope_10","intercept_11","slope_11","intercept_12","slope_12","intercept_13","slope_13","intercept_14","slope_14","intercept_15","slope_15","intercept_16","slope_16","intercept_17","slope_17","intercept_18","slope_18","intercept_19","slope_19","intercept_20","slope_20"
"13",0.35419,0.361573,0.211844,0.242491,0.269035,0.278146,0.335413,0.426322,0.137904,0.156743,0.174773,0.195701,0.19359,0.237426,0.251048,0.371295,0.128508,0.147161,0.14619,0.181279,0.170169,0.236221,0.255468,0.512852,0.164361,0.192828,0.167032,0.196689,0.191006,0.215775,0.276332,0.402483,0.238031,0.233281,0.266735,0.269133,0.35824,0.347574,0.398545,0.444066
"14",0.26458,0.285245,0.24801,0.23541,0.341179,0.320131,0.451307,0.531616,0.145876,0.162008,0.173403,0.189075,0.19278,0.253623,0.262275,0.366797,0.127547,0.149238,0.151982,0.196886,0.168319,0.220485,0.234016,0.415975,0.153797,0.187093,0.15925,0.186115,0.22143,0.269315,0.268293,0.431541,0.263817,0.298438,0.305454,0.326607,0.350057,0.367271,0.467554,0.599127
"15",0.258725,0.2578,0.241337,0.214801,0.304069,0.299275,0.441688,0.538575,0.164231,0.17965,0.17836,0.203798,0.226607,0.289898,0.277739,0.506861,0.131108,0.147155,0.147497,0.184278,0.168615,0.222949,0.231108,0.393903,0.175793,0.203479,0.210285,0.235967,0.219167,0.267235,0.265146,0.367865,0.246821,0.299063,0.338026,0.353693,0.509124,0.502706,0.596046,0.700006
"16",0.220727,0.286195,0.28265,0.267097,0.269077,0.281876,0.338744,0.426679,0.142602,0.159689,0.168365,0.197328,0.232901,0.315221,0.278687,0.459084,0.132786,0.158085,0.153055,0.21057,0.16691,0.239558,0.197312,0.32476,0.1588,0.20074,0.185872,0.226586,0.185392,0.237057,0.310736,0.496245,0.236842,0.216517,0.256344,0.24488,0.356296,0.36249,0.496439,0.606848
"17",0.237716,0.216567,0.231936,0.212756,0.277829,0.29236,0.47035,0.611122,0.167484,0.175631,0.188294,0.224599,0.187318,0.237808,0.329547,0.535672,0.130608,0.148939,0.149501,0.19897,0.178402,0.251604,0.237752,0.466183,0.153008,0.179868,0.165873,0.194545,0.248315,0.302962,0.303607,0.562386,0.233688,0.253777,0.259865,0.222745,0.426583,0.420052,0.470224,0.538329
"18",0.214484,0.236462,0.293421,0.268679,0.491081,0.459258,0.576949,0.614997,0.167046,0.186353,0.188763,0.233031,0.237262,0.282733,0.229825,0.304012,0.127152,0.143831,0.139351,0.168732,0.174892,0.243017,0.248852,0.450846,0.152118,0.173016,0.164749,0.190507,0.239569,0.337553,0.250868,0.414677,0.29188,0.28779,0.31775,0.274502,0.41238,0.386075,0.493546,0.647468
"19",0.254007,0.223308,0.337256,0.295204,0.330062,0.340599,0.663255,0.844322,0.1511,0.174622,0.187706,0.214487,0.205296,0.258902,0.241392,0.361038,0.135092,0.149131,0.161817,0.203691,0.208049,0.334156,0.227847,0.411044,0.152385,0.168362,0.174342,0.203408,0.30155,0.398149,0.440467,0.724662,0.241649,0.279185,0.265002,0.270741,0.335243,0.33981,0.366146,0.446357
"20",0.246251,0.294838,0.272837,0.281724,0.276981,0.299125,0.305769,0.376837,0.145348,0.152711,0.189801,0.213985,0.191119,0.235817,0.25605,0.413537,0.129957,0.147454,0.153378,0.207022,0.157926,0.210514,0.207125,0.317555,0.162209,0.188752,0.186168,0.226865,0.209381,0.270485,0.240921,0.347622,0.236123,0.242695,0.258712,0.246452,0.322739,0.308233,0.552211,0.608178
"21",0.238623,0.277339,0.262088,0.259534,0.390533,0.361498,0.478269,0.512501,0.16105,0.170617,0.200953,0.24857,0.214672,0.264989,0.273627,0.359717,0.129926,0.148502,0.158438,0.198335,0.173541,0.234839,0.21752,0.33423,0.149977,0.15705,0.17498,0.223612,0.237552,0.334164,0.263557,0.396958,0.364591,0.336603,0.241271,0.252105,0.326488,0.361862,0.456595,0.631966
"22",0.343344,0.285466,0.317201,0.308972,0.282583,0.301861,0.415069,0.493724,0.145683,0.156534,0.176912,0.215196,0.218087,0.303713,0.312308,0.592945,0.135623,0.161944,0.143945,0.17179,0.173685,0.254452,0.250415,0.528863,0.152501,0.163882,0.188784,0.214882,0.182496,0.199319,0.252586,0.379094,0.223404,0.235165,0.307653,0.294531,0.34751,0.330452,0.37152,0.425135
