"Item","Parameter","FlexMIRT_Mean","MIRT_Mean","Mplus_Mean","Ratio_MEAN_Flex_MIRT","Ratio_MEAN_Flex_Mplus","Ratio_MEAN_MIRT_Mplus","FlexMIRT_SE","MIRT_SE","Mplus_SE","FlexMIRT_RMSD","MIRT_RMSD","Mplus_RMSD","FlexMIRT_VAR","MIRT_VAR","Mplus_VAR"
1,"Intercept",0.25969083,0.241917487745363,0.24305076098,1.07346861287409,1.0684633487791,0.995337298142711,0.0419840685131159,0.0375372102953184,0.0256038081766302,0.0419630712282252,0.0395922711005526,0.0255910030704646,0.00176266200891401,0.00140904215675496,0.000655554993145674
2,"Intercept",0.296030449,0.313145173777443,0.26129152145,2.23925585937535,1.09097325336739,0.487203482710425,0.0547483962853453,0.0614214317892898,0.0330766131391726,0.0547210152402292,0.0618043329430057,0.0330600706959577,0.00299738689581722,0.00377259228304638,0.00109406233675848
3,"Intercept",0.334279724,0.149281611835661,0.30640505894,1.29324597805381,0.977699204595043,0.756004055830406,0.0703857813979274,0.00928659108262013,0.0513552451879118,0.0703505797046039,0.00928196171171405,0.0513295611427004,0.00495415822299682,8.62407739357997e-05,0.00263736120831053
4,"Intercept",0.456866387,0.200158723173121,0.49108991584,1.41514869053157,0.844240691067623,0.596573841827536,0.177418699084155,0.0226756042617071,0.145064861266221,0.17732996754618,0.0239782521086385,0.144992310693408,0.0314773947847139,0.000514183028633551,0.021043813974188
5,"Intercept",0.159249947,0.12313971951388,0.16288235303,0.545003050369944,0.933045019463272,1.7119996279469,0.0101668154243137,0.00374140883777152,0.00979246157607478,0.0101617307451138,0.00390143471215854,0.00978756412061664,0.000103364135872063,1.39981400913548e-05,9.5892303718901e-05
6,"Intercept",0.181624647,0.165253757850305,0.19574624159,0.713755893270611,0.744394689776702,1.04292615555956,0.0157018995245502,0.0125428966023972,0.0179908890095274,0.0156940466110685,0.0135001127035452,0.0179818913150364,0.00024654964867907,0.000157324255178426,0.000323672087353134
7,"Intercept",0.210943859,0.149061268551762,0.24986222677,0.976764777433376,0.979132259826031,1.00242379992333,0.024276721852652,0.0094727005338597,0.0328499752919374,0.0242645804556172,0.00954700522132131,0.0328335461959901,0.00058935922391103,8.97320554041858e-05,0.0010791208766809
8,"Intercept",0.284496681,0.200197073723358,0.42303916965,1.50217002514263,0.84717490851615,0.56396739006672,0.0532844165043162,0.0238894117241631,0.0941213138739576,0.0532577676321796,0.0241148412512877,0.0940742414459701,0.00283922904220544,0.000570703992526583,0.00885882172536004
9,"Intercept",0.131310881,0.24093604780903,0.14073370337,1.5909476955727,1.06420288328438,0.668911294975855,0.0042362850371233,0.0330797135569187,0.00744173636176147,0.00423416636480417,0.0330833538676045,0.00743801456289815,1.79461109157548e-05,0.00109426744900779,5.53794400779629e-05
10,"Intercept",0.14952562,0.314389461022542,0.17850680837,1.37880342563417,1.0921869870438,0.792126685166498,0.00789769108892822,0.0640258259312836,0.0158931289818357,0.00789374125567845,0.065278679760565,0.0158851804297097,6.23735245361361e-05,0.00409930638618303,0.000252591548833266
11,"Intercept",0.173704279,0.243366507566113,0.23334970196,0.986360684475647,1.12489535676504,1.1404503184989,0.0128705248830778,0.0261235707996122,0.0294790601756832,0.0128640880110157,0.0298324756436839,0.0294643169588692,0.000165650410765925,0.000682440951322353,0.00086901498884155
12,"Intercept",0.232325006,0.307126846917506,0.40356788505,1.94660225701672,1.06568173238769,0.547457359892777,0.0252499806149038,0.0532091944194913,0.0814637758575965,0.0252373524667696,0.0533765095682683,0.0814230337816011,0.000637561521053017,0.00283121837077122,0.00663634677697672
13,"Intercept",0.159195238,0.162982164875267,0.16258808389,1.25583714746103,1.18902634848423,0.946799790791445,0.0104967479373669,0.00988038334976156,0.00982961025135377,0.0104914982506483,0.00988210812402955,0.00982469421691208,0.000110181717260617,9.76219751382454e-05,9.66212376935191e-05
14,"Intercept",0.180975893,0.25020694501147,0.19495899731,1.56736490906051,1.33729790882725,0.853214143749614,0.0161326497137432,0.0334726416599554,0.0188661065313447,0.0161245813712962,0.0335208340646213,0.0188566711186358,0.000260262386786337,0.00112041773969578,0.000355929975652047
15,"Intercept",0.211503171,0.14079842325433,0.24965702935,0.552050911346806,1.23895529290356,2.24427723501253,0.0256561490789112,0.00746482801108845,0.0345259510324387,0.0256433177957486,0.00762530394281123,0.0345086837390194,0.000658237985559318,5.57236572351307e-05,0.00119204129469436
16,"Intercept",0.286356819,0.233558543093315,0.42705093477,0.953080811458874,1.51013173323787,1.5844739659865,0.0533826868012126,0.0298936471989588,0.093755749464731,0.0533559887816376,0.0308836443932683,0.0937088598646666,0.00284971125011636,0.000893630142855816,0.00879014055769341
