  -29705.274	       0.680	       0.705	     0.50455	     1.00651	     1.04288	
  -29392.404	       0.668	       0.715	     0.50292	     1.00833	     1.05671	
  -29297.564	       0.714	       0.722	     0.50193	     1.00806	     1.06325	
  -29317.986	       0.692	       0.721	     0.49862	     1.00782	     1.06149	
  -29335.538	       0.726	       0.723	     0.49515	     1.00589	     1.06003	
  -29299.712	       0.708	       0.715	     0.49383	     1.00407	     1.06013	
  -29284.965	       0.692	       0.721	     0.49267	     1.00371	     1.05422	
  -29299.318	       0.716	       0.712	     0.49194	     1.00172	     1.04961	
  -29304.384	       0.716	       0.718	     0.48998	     0.99941	     1.04635	
  -29277.059	       0.734	       0.726	     0.49066	     0.99848	     1.04699	
  -29293.549	       0.716	       0.724	     0.48964	     0.99685	     1.04589	
  -29292.633	       0.708	       0.719	     0.48851	     0.99500	     1.04182	
  -29282.255	       0.732	       0.714	     0.48645	     0.99172	     1.03912	
  -29308.134	       0.714	       0.720	     0.48654	     0.98946	     1.03857	
  -29282.816	       0.742	       0.723	     0.48516	     0.98897	     1.03893	
  -29312.163	       0.732	       0.721	     0.48489	     0.98859	     1.04150	
  -29302.069	       0.726	       0.726	     0.48464	     0.98927	     1.04132	
  -29280.937	       0.736	       0.727	     0.48317	     0.98886	     1.04027	
  -29281.888	       0.728	       0.723	     0.48146	     0.98942	     1.03990	
  -29279.800	       0.730	       0.727	     0.48045	     0.98724	     1.03593	
  -29314.060	       0.744	       0.727	     0.47705	     0.98606	     1.03147	
  -29270.448	       0.734	       0.719	     0.47541	     0.98432	     1.02777	
  -29286.451	       0.744	       0.725	     0.47667	     0.98264	     1.02733	
  -29267.403	       0.752	       0.725	     0.47599	     0.98067	     1.02527	
  -29286.133	       0.690	       0.728	     0.47395	     0.97934	     1.02335	
  -29307.506	       0.726	       0.726	     0.47306	     0.97885	     1.02391	
  -29295.810	       0.746	       0.724	     0.47466	     0.97933	     1.02522	
  -29279.484	       0.714	       0.726	     0.47251	     0.97907	     1.01927	
  -29302.317	       0.754	       0.735	     0.47135	     0.97912	     1.01661	
  -29272.265	       0.754	       0.733	     0.46928	     0.97887	     1.01364	
  -29309.795	       0.736	       0.730	     0.46701	     0.97831	     1.01295	
  -29294.994	       0.780	       0.734	     0.46692	     0.97895	     1.01309	
  -29305.043	       0.726	       0.727	     0.46630	     0.97657	     1.01227	
  -29303.988	       0.734	       0.728	     0.46485	     0.97641	     1.00795	
  -29275.633	       0.748	       0.726	     0.46364	     0.97676	     1.00786	
  -29277.597	       0.752	       0.725	     0.46291	     0.97472	     1.00624	
  -29292.496	       0.750	       0.720	     0.46211	     0.97321	     1.00271	
  -29267.666	       0.738	       0.724	     0.46126	     0.97167	     1.00019	
  -29270.701	       0.750	       0.731	     0.46232	     0.97071	     1.00213	
  -29268.951	       0.702	       0.730	     0.46084	     0.97239	     1.00251	
  -29257.799	       0.718	       0.730	     0.46015	     0.97377	     0.99983	
  -29277.802	       0.710	       0.729	     0.46011	     0.97287	     1.00087	
  -29315.792	       0.728	       0.734	     0.45772	     0.97143	     0.99703	
  -29274.224	       0.764	       0.721	     0.45698	     0.97261	     0.99431	
  -29256.661	       0.746	       0.735	     0.45567	     0.97061	     0.99141	
  -29303.139	       0.704	       0.732	     0.45574	     0.97130	     0.99193	
  -29310.050	       0.740	       0.729	     0.45434	     0.96955	     0.99009	
  -29300.029	       0.724	       0.725	     0.45535	     0.97100	     0.99163	
